"#",Key Questions
1.,Was the project properly conceived?
2.,Has it fulfilled its basic objectives?
3.,Was there any flaw in project design?
4.,Wastheprojectprepared inconsultationwithbeneficiariesandotherstakeholders?
5.,Were the forecasts of output or benefits correctly made to a reasonable extent?
6.,Was the technical preparation adequate?
7.,How good were the original cost estimates?
8.,"If there were deficiencies in preparation, how were they addressed?"
9.,Was the project implemented per the plan?
10.,"If not, was this because of its haphazard preparation or because of delays in (a) the authorization procedure, (b) obtaining suitable funds, and (c) other reasons?"
11.,"Have you identified any lessons that could be learnt to improve the design and implementation of future projects?"
